Test Chi Quadro massimo_____________________________________________
   x       y       y*      sy      Chi     
69 379.00  7.13    6.42    0.36    3.90    
70 380.00  6.84    6.71    0.34    0.13    
71 381.00  7.44    7.02    0.37    1.32    
72 382.00  7.74    7.33    0.39    1.15    
73 383.00  8.16    7.65    0.41    1.57    
74 384.00  8.27    7.97    0.41    0.52    
75 385.00  8.88    8.31    0.44    1.61    
76 386.00  8.91    8.66    0.45    0.32    
77 387.00  9.35    9.02    0.47    0.51    
78 388.00  9.26    9.38    0.46    0.07    
79 389.00  9.85    9.76    0.49    0.03    
80 390.00  9.92    10.14   0.50    0.19    
81 391.00  10.34   10.53   0.52    0.13    
82 392.00  10.40   10.93   0.52    1.07    
83 393.00  10.80   11.34   0.54    1.02    
84 394.00  10.98   11.76   0.55    2.05    
85 395.00  11.57   12.19   0.58    1.17    
86 396.00  11.81   12.63   0.59    1.92    
87 397.00  12.20   13.08   0.61    2.08    
88 398.00  12.14   13.54   0.61    5.28    
89 399.00  12.41   14.00   0.62    6.55    
90 400.00  12.64   14.48   0.63    8.48    
Chi Quadro = 363.84
Gradi Libertà = 87
Chi Quadro Ridotto = 4.18

Test Chi Quadro minimo3dx_____________________________________________
   x       y       y*      sy      Chi     
1  1175.00 5.83    5.90    0.29    0.07    
2  1176.00 5.60    5.72    0.28    0.19    
3  1177.00 6.11    5.54    0.31    3.48    
4  1178.00 5.71    5.37    0.29    1.48    
5  1179.00 5.73    5.19    0.29    3.54    
6  1180.00 5.14    5.03    0.26    0.20    
7  1181.00 5.36    4.86    0.27    3.46    
8  1182.00 5.35    4.70    0.27    5.98    
9  1183.00 5.09    4.54    0.25    4.66    
10 1184.00 4.14    4.39    0.21    1.37    
11 1185.00 4.28    4.24    0.21    0.05    
12 1186.00 3.86    4.09    0.19    1.40    
13 1187.00 4.31    3.94    0.22    2.81    
14 1188.00 3.90    3.80    0.19    0.24    
15 1189.00 3.96    3.67    0.20    2.13    
16 1190.00 3.35    3.53    0.17    1.17    
17 1191.00 3.74    3.40    0.19    3.27    
18 1192.00 3.42    3.28    0.17    0.65    
19 1193.00 3.49    3.16    0.17    3.69    
20 1194.00 2.88    3.04    0.14    1.16    
21 1195.00 3.12    2.92    0.16    1.67    
22 1196.00 2.89    2.81    0.14    0.34    
23 1197.00 3.22    2.70    0.16    10.32   
24 1198.00 2.70    2.60    0.14    0.59    
25 1199.00 2.99    2.50    0.15    10.78   
26 1200.00 2.73    2.40    0.14    6.01    
27 1201.00 2.79    2.30    0.14    12.23   
28 1202.00 2.24    2.21    0.11    0.05    
29 1203.00 2.12    2.13    0.11    0.01    
30 1204.00 1.77    2.04    0.09    9.68    
31 1205.00 2.23    1.96    0.11    5.74    
32 1206.00 2.07    1.89    0.10    3.06    
33 1207.00 2.14    1.81    0.11    9.51    
34 1208.00 1.80    1.74    0.09    0.41    
35 1209.00 1.98    1.68    0.10    9.17    
36 1210.00 1.72    1.61    0.09    1.47    
37 1211.00 1.60    1.56    0.08    0.32    
38 1212.00 1.03    1.50    0.05    81.48   
39 1213.00 1.16    1.45    0.06    23.97   
40 1214.00 1.01    1.40    0.05    58.96   
41 1215.00 1.42    1.36    0.07    0.83    
42 1216.00 1.43    1.31    0.07    2.63    
43 1217.00 1.50    1.28    0.07    8.65    
44 1218.00 0.96    1.24    0.05    34.39   
45 1219.00 1.05    1.21    0.05    9.97    
46 1220.00 0.83    1.19    0.04    72.66   
47 1221.00 1.10    1.16    0.06    1.19    
48 1222.00 0.97    1.14    0.05    13.06   
49 1223.00 1.21    1.13    0.06    1.97    
50 1224.00 0.98    1.11    0.05    7.37    
51 1225.00 1.26    1.10    0.06    6.38    
52 1226.00 1.29    1.10    0.06    9.22    
53 1227.00 1.57    1.10    0.08    36.24   
54 1228.00 1.26    1.10    0.06    6.63    
55 1229.00 1.50    1.10    0.07    28.03   
56 1230.00 1.44    1.11    0.07    21.03   
57 1231.00 1.46    1.12    0.07    21.50   
58 1232.00 1.20    1.14    0.06    0.99    
59 1233.00 1.52    1.16    0.08    22.50   
60 1234.00 1.41    1.18    0.07    10.94   
61 1235.00 1.41    1.21    0.07    8.41    
62 1236.00 1.36    1.24    0.07    3.29    
63 1237.00 1.58    1.27    0.08    15.92   
64 1238.00 1.29    1.31    0.06    0.06    
65 1239.00 1.35    1.35    0.07    0.00    
66 1240.00 1.25    1.39    0.06    5.00    
67 1241.00 1.48    1.44    0.07    0.31    
68 1242.00 1.36    1.49    0.07    3.30    
69 1243.00 1.89    1.54    0.09    13.68   
70 1244.00 1.57    1.60    0.08    0.11    
71 1245.00 1.77    1.66    0.09    1.52    
72 1246.00 1.48    1.73    0.07    10.74   
73 1247.00 1.89    1.80    0.09    0.93    
74 1248.00 1.96    1.87    0.10    0.95    
75 1249.00 2.15    1.94    0.11    3.70    
76 1250.00 1.78    2.02    0.09    7.58    
77 1251.00 2.19    2.11    0.11    0.61    
78 1252.00 2.10    2.19    0.10    0.80    
79 1253.00 2.63    2.28    0.13    6.88    
80 1254.00 2.67    2.37    0.13    4.86    
81 1255.00 2.94    2.47    0.15    10.16   
82 1256.00 2.62    2.57    0.13    0.15    
83 1257.00 3.04    2.68    0.15    5.83    
84 1258.00 2.69    2.78    0.13    0.48    
85 1259.00 2.86    2.90    0.14    0.08    
86 1260.00 2.83    3.01    0.14    1.63    
87 1261.00 3.26    3.13    0.16    0.61    
88 1262.00 3.19    3.25    0.16    0.16    
89 1263.00 3.46    3.38    0.17    0.25    
90 1264.00 3.33    3.50    0.17    1.03    
91 1265.00 3.71    3.64    0.19    0.16    
92 1266.00 3.32    3.77    0.17    7.59    
93 1267.00 3.81    3.91    0.19    0.31    
94 1268.00 3.53    4.05    0.18    8.90    
95 1269.00 4.18    4.20    0.21    0.01    
96 1270.00 4.08    4.35    0.20    1.78    
97 1271.00 4.43    4.50    0.22    0.12    
98 1272.00 3.91    4.66    0.20    14.57   
99 1273.00 4.57    4.82    0.23    1.18    
1001274.00 4.19    4.99    0.21    14.60   
1011275.00 4.54    5.15    0.23    7.36    
Chi Quadro = 768.60
Gradi Libertà = 98
Chi Quadro Ridotto = 7.84

Test Chi Quadro minimo3sx_____________________________________________
   x       y       y*      sy      Chi     
1  500.00  17.27   17.64   0.86    0.19    
2  501.00  16.84   17.30   0.84    0.30    
3  502.00  16.71   16.97   0.84    0.10    
4  503.00  16.47   16.66   0.82    0.05    
5  504.00  16.47   16.37   0.82    0.02    
6  505.00  16.22   16.09   0.81    0.03    
7  506.00  16.04   15.82   0.80    0.07    
8  507.00  15.63   15.57   0.78    0.01    
9  508.00  15.56   15.34   0.78    0.08    
10 509.00  15.10   15.13   0.75    0.00    
11 510.00  14.89   14.93   0.74    0.00    
12 511.00  14.81   14.74   0.74    0.01    
13 512.00  15.01   14.57   0.75    0.34    
14 513.00  14.71   14.42   0.74    0.16    
15 514.00  14.58   14.28   0.73    0.17    
16 515.00  14.43   14.16   0.72    0.14    
17 516.00  14.12   14.05   0.71    0.01    
18 517.00  13.99   13.96   0.70    0.00    
19 518.00  13.90   13.89   0.70    0.00    
20 519.00  13.81   13.83   0.69    0.00    
21 520.00  13.62   13.79   0.68    0.06    
22 521.00  13.90   13.76   0.69    0.04    
23 522.00  13.88   13.75   0.69    0.03    
24 523.00  13.87   13.76   0.69    0.03    
25 524.00  13.69   13.78   0.68    0.02    
26 525.00  13.50   13.82   0.68    0.22    
27 526.00  13.46   13.87   0.67    0.36    
28 527.00  13.70   13.94   0.68    0.12    
29 528.00  13.83   14.02   0.69    0.07    
30 529.00  14.01   14.12   0.70    0.03    
31 530.00  14.13   14.24   0.71    0.02    
32 531.00  14.32   14.37   0.72    0.01    
33 532.00  14.58   14.52   0.73    0.01    
34 533.00  14.66   14.68   0.73    0.00    
35 534.00  14.79   14.86   0.74    0.01    
36 535.00  15.09   15.06   0.75    0.00    
