pixel,grigio
1267,3.8059
1268,3.5282
1269,4.1792
1270,4.0790
1271,4.4280
1272,3.9147
1273,4.5743
1274,4.1870
1275,4.5391
1276,4.3310
1277,4.8983
1278,4.5603
1279,5.0986
1280,4.8232
1281,5.0806
1282,4.6487
1283,5.2762
1284,4.9531
1285,5.3865
1286,4.9218
1287,5.2363
1288,4.9593
1289,5.3623
1290,5.1142
1291,5.5376
1292,4.9664
1293,5.4601
1294,5.2660
1295,5.6275
1296,5.4750
1297,5.6964
1298,5.4507
1299,5.8818
1300,5.6377
1301,5.7637
1302,5.4202
1303,5.9491
1304,5.7246
1305,5.7903
1306,5.2958
1307,5.3341
1308,5.3748
1309,5.8067
1310,5.6628
1311,5.8936
1312,5.3153
1313,5.6346
1314,5.3052
1315,5.5884
1316,5.2668
1317,5.7214
1318,5.5211
1319,5.4922
1320,5.1651
1321,5.2981
1322,4.9977
1323,5.4773
1324,5.1158
1325,5.4374
1326,5.1064
1327,5.2559
1328,4.7254
1329,4.9038
1330,4.5587
1331,4.7480
1332,4.7003
1333,5.5203
1334,4.9710
1335,4.7316
1336,4.1455
1337,4.5133
1338,4.0931
1339,4.6338
1340,3.9225
1341,4.4640
1342,3.9006
1343,3.9092
1344,3.5876
1345,3.8310
1346,3.3537
1347,3.7293
1348,3.3326
1349,3.6886
1350,3.2308
1351,3.4890
1352,3.0235
1353,3.0626
1354,2.7872
1355,3.2715
1356,2.7989
1357,3.0822
1358,2.8161
1359,2.9898
1360,2.2942
1361,2.7762
1362,2.5063
1363,2.5649
1364,2.1158
1365,2.5399
1366,2.3670
1367,2.4632
