Test Chi Quadro Andamento del Voltaggio_____________________________________________
   x       y       y*      sy      Chi     
5040.00    -1.08   -1.14   1.68    0.00    
5050.00    -1.08   -1.13   1.68    0.00    
5060.00    -1.08   -1.13   1.68    0.00    
5070.00    -1.08   -1.12   1.68    0.00    
5080.00    -1.08   -1.12   1.68    0.00    
5090.00    -1.08   -1.11   1.68    0.00    
5100.00    -1.08   -1.10   1.68    0.00    
5110.00    -1.08   -1.10   1.68    0.00    
5120.00    -1.04   -1.09   1.69    0.00    
5130.00    -1.04   -1.08   1.69    0.00    
5140.00    -1.04   -1.07   1.69    0.00    
5150.00    -1.04   -1.06   1.69    0.00    
5160.00    -1.04   -1.05   1.69    0.00    
5170.00    -1.04   -1.04   1.69    0.00    
5180.00    -1.00   -1.04   1.70    0.00    
5190.00    -1.00   -1.03   1.70    0.00    
5200.00    -1.00   -1.01   1.70    0.00    
5210.00    -1.00   -1.00   1.70    0.00    
5220.00    -1.00   -0.99   1.70    0.00    
5230.00    -0.96   -0.98   1.71    0.00    
5240.00    -0.96   -0.97   1.71    0.00    
5250.00    -0.96   -0.96   1.71    0.00    
5260.00    -0.92   -0.95   1.72    0.00    
5270.00    -0.92   -0.93   1.72    0.00    
5280.00    -0.92   -0.92   1.72    0.00    
5290.00    -0.92   -0.91   1.72    0.00    
5300.00    -0.88   -0.90   1.74    0.00    
5310.00    -0.88   -0.88   1.74    0.00    
5320.00    -0.88   -0.87   1.74    0.00    
5330.00    -0.88   -0.86   1.74    0.00    
5340.00    -0.84   -0.84   1.75    0.00    
5350.00    -0.84   -0.83   1.75    0.00    
5360.00    -0.84   -0.81   1.75    0.00    
5370.00    -0.80   -0.80   1.76    0.00    
5380.00    -0.80   -0.78   1.76    0.00    
5390.00    -0.80   -0.77   1.76    0.00    
5400.00    -0.76   -0.75   1.77    0.00    
5410.00    -0.76   -0.74   1.77    0.00    
5420.00    -0.72   -0.72   1.78    0.00    
5430.00    -0.72   -0.70   1.78    0.00    
