Distance_(pixels),Gray_Value
7.4700E2,3.1244E1
7.4800E2,3.1465E1
7.4900E2,3.5196E1
7.5000E2,3.3400E1
7.5100E2,3.1145E1
7.5200E2,3.1396E1
7.5300E2,3.3410E1
7.5400E2,3.2355E1
7.5500E2,3.1637E1
7.5600E2,2.8365E1
7.5700E2,2.7474E1
7.5800E2,2.7617E1
7.5900E2,2.9571E1
7.6000E2,3.0523E1
7.6100E2,3.0522E1
7.6200E2,2.6749E1
7.6300E2,2.5853E1
7.6400E2,2.7555E1
7.6500E2,2.7920E1
7.6600E2,2.7634E1
7.6700E2,2.8757E1
7.6800E2,2.9542E1
7.6900E2,3.0464E1
7.7000E2,2.8072E1
7.7100E2,2.8533E1
7.7200E2,2.7980E1
7.7300E2,2.6719E1
7.7400E2,2.6159E1
7.7500E2,2.6493E1
7.7600E2,2.7195E1
7.7700E2,2.8171E1
7.7800E2,2.7021E1
7.7900E2,2.7179E1
7.8000E2,2.6011E1
7.8100E2,2.5166E1
7.8200E2,2.5166E1
7.8300E2,2.6502E1
7.8400E2,2.6006E1
7.8500E2,2.5341E1
7.8600E2,2.5343E1
7.8700E2,2.6543E1
7.8800E2,2.6681E1
7.8900E2,2.5983E1
7.9000E2,2.4685E1
7.9100E2,2.5552E1
7.9200E2,2.5178E1
7.9300E2,2.4513E1
7.9400E2,2.5514E1
7.9500E2,2.5755E1
7.9600E2,2.7214E1
7.9700E2,2.8667E1
7.9800E2,2.7559E1
7.9900E2,2.7780E1
8.0000E2,2.9813E1
8.0100E2,3.0418E1
8.0200E2,2.8466E1
8.0300E2,2.8046E1
8.0400E2,2.8430E1
8.0500E2,2.7960E1
8.0600E2,3.0772E1
8.0700E2,3.2194E1
8.0800E2,3.3529E1
8.0900E2,3.4530E1
8.1000E2,3.1851E1
8.1100E2,3.3270E1
8.1200E2,3.1801E1
8.1300E2,3.6062E1
8.1400E2,3.8597E1
8.1500E2,3.9915E1
8.1600E2,3.5444E1
8.1700E2,3.4538E1
8.1800E2,3.5559E1
8.1900E2,3.6287E1
8.2000E2,3.5416E1
8.2100E2,3.5955E1
8.2200E2,3.5616E1
8.2300E2,3.5211E1
8.2400E2,3.7970E1
8.2500E2,3.5040E1
8.2600E2,3.4881E1
8.2700E2,3.5118E1
8.2800E2,3.5217E1
8.2900E2,3.5218E1
8.3000E2,3.5781E1
8.3100E2,3.6682E1
8.3200E2,3.5896E1
8.3300E2,3.6444E1
8.3400E2,3.6333E1
8.3500E2,3.6109E1
8.3600E2,3.7541E1
8.3700E2,3.8988E1
8.3800E2,3.8471E1
8.3900E2,3.8453E1
8.4000E2,3.6997E1
8.4100E2,4.0387E1
8.4200E2,4.2870E1
8.4300E2,4.1644E1
8.4400E2,3.9564E1
8.4500E2,4.2136E1
8.4600E2,4.1431E1
8.4700E2,4.0324E1
8.4800E2,3.8142E1
8.4900E2,3.8673E1
8.5000E2,3.9107E1
8.5100E2,3.8943E1
8.5200E2,3.9365E1
8.5300E2,3.8180E1
8.5400E2,3.8911E1
8.5500E2,3.9560E1
8.5600E2,3.8232E1
8.5700E2,3.9000E1
8.5800E2,3.8108E1
8.5900E2,3.7420E1
8.6000E2,3.5651E1
8.6100E2,3.5972E1
8.6200E2,3.7380E1
8.6300E2,3.8682E1
8.6400E2,3.7431E1
8.6500E2,3.7411E1
8.6600E2,3.8991E1
8.6700E2,3.8892E1
8.6800E2,3.8259E1
8.6900E2,3.8301E1
8.7000E2,4.0189E1
8.7100E2,4.1546E1
8.7200E2,4.3651E1
8.7300E2,4.2725E1
8.7400E2,4.0537E1
8.7500E2,4.3200E1
8.7600E2,4.2929E1
8.7700E2,4.4204E1
8.7800E2,4.3063E1
8.7900E2,4.3854E1
8.8000E2,4.7720E1
8.8100E2,4.8727E1
8.8200E2,4.5274E1
8.8300E2,4.6376E1
8.8400E2,4.4171E1
8.8500E2,4.5776E1
8.8600E2,4.4561E1
8.8700E2,4.5913E1
8.8800E2,4.1894E1
8.8900E2,3.9644E1
8.9000E2,4.3464E1
8.9100E2,3.9099E1
8.9200E2,3.6430E1
8.9300E2,3.6476E1
8.9400E2,3.5620E1
8.9500E2,3.9651E1
8.9600E2,3.6643E1
8.9700E2,3.5333E1
8.9800E2,3.4709E1
8.9900E2,3.4164E1
9.0000E2,3.5787E1
9.0100E2,3.9294E1
9.0200E2,3.9659E1
9.0300E2,3.9517E1
9.0400E2,3.5548E1
9.0500E2,3.5104E1
9.0600E2,3.5067E1
9.0700E2,3.5967E1
9.0800E2,3.7333E1
9.0900E2,3.6819E1
9.1000E2,3.6539E1
9.1100E2,3.7113E1
9.1200E2,3.7639E1
9.1300E2,3.6614E1
9.1400E2,3.7333E1
9.1500E2,3.8715E1
9.1600E2,4.0000E1
9.1700E2,4.2137E1
